,Nom du candidat,URL,Titre du programme,Description
0,Phillipe Poutou,https://poutou2022.org/node/234,Travail : ne pas perdre sa vie à la gagner ! Avec Philippe Poutou,Les fins de mois arrivent de plus en plus tôt. Cinq millions de personnes sont au chômage.
1,Phillipe Poutou,https://poutou2022.org/node/199,"Avec Philippe Poutou, reprenons le contrôle sur notre système de santé, sur nos vies",La crise sanitaire s’invite dans la campagne présidentielle.
2,Phillipe Poutou,https://poutou2022.org/node/138,4 pages de campagne,Présentation du programme de la campagne #Poutou2022. Disponible auprès des militantEs de la campagne.
3,Phillipe Poutou,https://poutou2022.org/node/85,Pour les droits des femmes et des personnes LGBTI,"Ces dernières années, en France comme à l’échelle internationale, des mouvements de masse se sont développés pour s"
4,Phillipe Poutou,https://poutou2022.org/node/84,Une campagne anti-impérialiste et antiraciste,"Parce que nos luttes n’ont pas de frontières, et que nous refuserons toujours le moindre compromis"
5,Phillipe Poutou,https://poutou2022.org/node/83,Une campagne écosocialiste,"Pour faire face aux grands problèmes qui sont devant nous (effondrement de la biodiversité, changement climatique, artificialisation des terres, pollution de l"
6,Phillipe Poutou,https://poutou2022.org/node/82,"Éxpropriation, planification, socialisme","Crise économique, crise sanitaire, crise climatique…."
7,Phillipe Poutou,https://poutou2022.org/node/81,Urgence sociale : garantir l’emploi pour une vie décente,"Le chômage, la précarité, la pauvreté n’ont pas cessé dans la période récente, mais pas pour tout le monde, puisque les plus riches, eux, ont continué de s’enrichir et le nombre de milliardaires a même augmenté."
