1_ortho,3_lemme
aborderaient,aborder
aborderais,aborder
aborderait,aborder
aborderiez,aborder
aborderions,aborder
aborderons,aborder
aborderont,aborder
abordes,aborder
abordez,aborder
abordiez,aborder
abordions,aborder
abordons,aborder
abords,abord
abordâmes,aborder
abordèrent,aborder
abordé,aborder
abordé,abordé
abordée,aborder
abordées,aborder
abordées,abordé
abordés,aborder
abordés,abordé
aborigène,aborigène
aborigène,aborigène
aborigènes,aborigène
aborigènes,aborigène
abornement,abornement
abortif,abortif
abortive,abortif
abortives,abortif
abouchaient,aboucher
abouchais,aboucher
abouchait,aboucher
abouchant,aboucher
abouchements,abouchement
aboucher,aboucher
abouché,aboucher
abouchée,aboucher
abouchés,aboucher
aboule,abouler
abouler,abouler
aboules,abouler
aboulez,abouler
aboulie,aboulie
aboulique,aboulique
abouliques,aboulique
abounas,abouna
about,about
aboutait,abouter
abouti,abouti
abouti,aboutir
aboutie,abouti
aboutie,aboutir
aboutir,aboutir
aboutira,aboutir
aboutirai,aboutir
aboutiraient,aboutir
aboutirais,aboutir
aboutirait,aboutir
aboutiras,aboutir
aboutirent,aboutir
aboutirons,aboutir
aboutiront,aboutir
aboutis,abouti
aboutis,aboutir
aboutissaient,aboutir
aboutissait,aboutir
aboutissant,aboutir
aboutissant,aboutissant
aboutissants,aboutissant
aboutisse,aboutir
aboutissement,aboutissement
aboutissent,aboutir
aboutissez,aboutir
aboutissiez,aboutir
aboutissions,aboutir
aboutit,aboutir
aboutonnai,aboutonner
aboutons,abouter
aboutîmes,aboutir
aboya,aboyer
aboyaient,aboyer
aboyait,aboyer
aboyant,aboyant
aboyant,aboyer
aboyante,aboyant
aboyer,aboyer
aboyeur,aboyeur
aboyeur,aboyeur
aboyeurs,aboyeur
aboyeurs,aboyeur
aboyons,aboyer
aboyèrent,aboyer
aboyé,aboyer
abracadabra,abracadabra
abracadabrant,abracadabrant
abracadabrante,abracadabrant
abracadabrantes,abracadabrant
abracadabrants,abracadabrant
abracadabré,abracadabrer
abrasif,abrasif
abrasif,abrasif
abrasifs,abrasif
abrasifs,abrasif
abrasion,abrasion
abrasive,abrasif
abrasé,abraser
abraxas,abraxas
abreuva,abreuver
abreuvage,abreuvage
abreuvaient,abreuver
abreuvait,abreuver
abreuvant,abreuver
abreuve,abreuver
abreuvent,abreuver
abreuver,abreuver
abreuvera,abreuver
abreuveraient,abreuver
abreuvez,abreuver
abreuvoir,abreuvoir
abreuvoirs,abreuvoir
abreuvons,abreuver
abreuvé,abreuver
abreuvé,abreuvé
abreuvée,abreuver
abreuvés,abreuver
abreuvés,abreuvé
abri,abri
abri-refuge,abri-refuge
abribus,abribus
abricot,abricot
abricot,abricot
abricotez,abricoter
abricotier,abricotier
abricotiers,abricotier
abricotine,abricotine
abricots,abricot
abris,abri
abrita,abriter
abritai,abriter
abritaient,abriter
abritais,abriter
abritait,abriter
abritant,abritant
abritant,abriter
abrite,abriter
abritent,abriter
abriter,abriter
abritera,abriter
abriterait,abriter
abriterons,abriter
abriteront,abriter
abrites,abriter
abritez,abriter
abritiez,abriter
abritions,abriter
abritons,abriter
abritâmes,abriter
abritèrent,abriter
abrité,abriter
abrité,abrité
abritée,abriter
abritée,abrité
abritées,abriter
abrités,abriter
abrités,abrité
abrogation,abrogation
abrogent,abroger
abroger,abroger
abrogé,abroger
abrogé,abrogé
abrogée,abroger
abrogées,abroger
abrogés,abroger
abrupt,abrupt
abrupt,abrupt
abrupte,abrupt
abruptement,abruptement
abruptes,abrupt
abrupts,abrupt
abrupts,abrupt
abruti,abruti
abruti,abruti
abruti,abrutir
abrutie,abruti
abrutie,abruti
abrutie,abrutir
abruties,abruti
abruties,abruti
abruties,abrutir
abrutir,abrutir
abrutira,abrutir
abrutis,abruti
abrutis,abruti
abrutis,abrutir
abrutissaient,abrutir
abrutissais,abrutir
abrutissait,abrutir
abrutissant,abrutir
abrutissant,abrutissant
abrutissante,abrutissant
abrutissantes,abrutissant
abrutissants,abrutissant
abrutissement,abrutissement
abrutissent,abrutir
abrutisseur,abrutisseur
abrutissions,abrutir
abrutit,abrutir
abrège,abréger
abrègent,abréger
abrégea,abréger
abrégeai,abréger
abrégeaient,abréger
abrégeait,abréger
abrégeant,abréger
abrégeons,abréger
abréger,abréger
abrégera,abréger
abrégerai,abréger
abrégerait,abréger
abrégez,abréger
abrégeât,abréger
abrégé,abréger
abrégé,abrégé
abrégé,abrégé
abrégée,abréger
abrégée,abrégé
abrégés,abrégé
abrégés,abrégé
abréviatif,abréviatif
abréviation,abréviation
abréviations,abréviation
abscisse,abscisse
abscission,abscission
abscons,abscons
absconse,abscons
absconses,abscons
absence,absence
absences,absence
absent,absent
absent,absent
absenta,absenter
absentai,absenter
absentaient,absenter
absentais,absenter
absentait,absenter
absentant,absenter
absente,absent
absente,absent
absente,absenter
absenter,absenter
absentera,absenter
absenterai,absenter
absenterait,absenter
absentes,absent
absentes,absent
absentes,absenter
absents,absent
absents,absent
absentèrent,absenter
absenté,absenter
absentée,absenter
absentéisme,absentéisme
absentéiste,absentéiste
absentéiste,absentéiste
absentés,absenter
abside,abside
absides,abside
absidiales,absidial
absidiole,absidiole
absinthant,absinther
absinthe,absinthe
absolu,absolu
absolu,absolu
absolue,absolu
absolues,absolu
absolument,absolument
absolus,absolu
absolus,absolu
absolution,absolution
absolutisme,absolutisme
absolvaient,absoudre
absolvait,absoudre
absolvant,absolvant
absolve,absoudre
absolvent,absoudre
absolves,absoudre
absorba,absorber
absorbables,absorbable
absorbai,absorber
absorbaient,absorber
absorbais,absorber
absorbait,absorber
absorbant,absorbant
absorbant,absorbant
absorbant,absorber
absorbante,absorbant
absorbantes,absorbant
absorbants,absorbant
absorbe,absorber
absorbent,absorber
absorber,absorber
absorbera,absorber
absorberai,absorber
absorberaient,absorber
absorberait,absorber
absorbeur,absorbeur
absorbez,absorber
absorbions,absorber
absorbons,absorber
absorbèrent,absorber
absorbé,absorber
absorbé,absorbé
absorbée,absorber
absorbée,absorbé
absorbées,absorber
absorbées,absorbé
absorbés,absorber
absorbés,absorbé
absorption,absorption
absorptions,absorption
absoudrai,absoudre
absoudrait,absoudre
absoudre,absoudre
absoudriez,absoudre
absous,absoudre
absous,absous
absout,absoudre
absoute,absoudre
absoute,absoute
absoute,absoute
absoutes,absoudre
abstenaient,abstenir
abstenais,abstenir
abstenait,abstenir
abstenant,abstenir
abstenez,abstenir
absteniez,abstenir
abstenions,abstenir
abstenir,abstenir
abstenons,abstenir
abstention,abstention
abstentionniste,abstentionniste
abstentionnistes,abstentionniste
abstenu,abstenir
abstenue,abstenir
abstenue,abstenu
abstenues,abstenir
abstenus,abstenir
abstiendrai,abstenir
abstiendraient,abstenir
abstiendrais,abstenir
abstiendrait,abstenir
abstiendras,abstenir
abstiendrions,abstenir
abstiendrons,abstenir
abstiendront,abstenir
abstienne,abstenir
abstiennent,abstenir
abstiennes,abstenir
abstiens,abstenir
abstient,abstenir
abstinence,abstinence
abstinences,abstinence
abstinent,abstinent
abstinente,abstinent
abstinrent,abstenir
abstins,abstenir
abstint,abstenir
abstraction,abstraction
abstractions,abstraction
abstraire,abstraire
abstrais,abstraire
abstrait,abstraire
abstrait,abstrait
abstrait,abstrait
abstraite,abstraire
abstraite,abstrait
abstraitement,abstraitement
abstraites,abstraire
abstraites,abstrait
abstraits,abstraire
abstraits,abstrait
abstraits,abstrait
abstrus,abstrus
abstruse,abstrus
abstruses,abstrus
abstînt,abstenir
absurde,absurde
absurde,absurde
absurdement,absurdement
absurdes,absurde
absurdes,absurde
absurdistes,absurdiste
absurdité,absurdité
absurdités,absurdité
abus,abus
abusa,abuser
abusai,abuser
abusaient,abuser
abusais,abuser
abusait,abuser
abusant,abuser
abuse,abuser
abusent,abuser
abuser,abuser
abusera,abuser
abuserai,abuser
abuserais,abuser
abuserait,abuser
abuserez,abuser
abuseriez,abuser
abuses,abuser
abuseur,abuseur
abusez,abuser
abusiez,abuser
abusif,abusif
abusifs,abusif
abusive,abusif
abusivement,abusivement
abusives,abusif
abusons,abuser
abusèrent,abuser
abusé,abuser
abusé,abusé
abusée,abuser
abusée,abusé
abusées,abuser
abusées,abusé
abusés,abuser
abusés,abusé
abyme,abyme
abyssal,abyssal
abyssale,abyssal
abyssales,abyssal
abysse,abysse
abysses,abysse
abyssin,abyssin
abyssin,abyssin
abyssinien,abyssinien
abyssinienne,abyssinien
abyssins,abyssin
abâtardi,abâtardir
abâtardie,abâtardi
abâtardies,abâtardir
abâtardir,abâtardir
abâtardirai,abâtardir
abâtardissant,abâtardir
abécédaire,abécédaire
abêti,abêti
abêti,abêtir
abêties,abêti
abêtir,abêtir
abêtis,abêti
abêtis,abêtir
abêtissait,abêtir
abêtissement,abêtissement
abêtit,abêtir
abîma,abîmer
abîmai,abîmer
abîmaient,abîmer
abîmait,abîmer
abîmant,abîmer
abîme,abîme
abîme,abîmer
abîment,abîmer
abîmer,abîmer
abîmera,abîmer
abîmerai,abîmer
abîmerais,abîmer
abîmerait,abîmer
abîmeras,abîmer
abîmerez,abîmer
abîmeront,abîmer
abîmes,abîme
abîmes,abîmer
abîmez,abîmer
abîmions,abîmer
abîmons,abîmer
abîmé,abîmer
abîmée,abîmer
abîmées,abîmer
abîmés,abîmer
acabit,acabit
acabits,acabit
acacia,acacia
acacias,acacia
acadien,acadien
acadien,acadien
acadienne,acadienne
acadiens,acadien
académicien,académicien
académiciens,académicien
académie,académie
académies,académie
académique,académique
académiquement,académiquement
académiques,académique
académisme,académisme
académisé,académiser
acagnardai,acagnarder
acagnardait,acagnarder
acagnarder,acagnarder
acagnardé,acagnarder
acagnardée,acagnarder
acajou,acajou
acajou,acajou
acajous,acajou
acanthe,acanthe
acanthes,acanthe
acariens,acarien
acariâtre,acariâtre
acariâtres,acariâtre
accabla,accabler
accablai,accabler
accablaient,accabler
accablais,accabler
accablait,accabler
accablant,accablant
accablant,accabler
accablante,accablant
accablantes,accablant
accablants,accablant
accable,accabler
accablement,accablement
accablements,accablement
accablent,accabler
accabler,accabler
accableraient,accabler
accablez,accabler
accablions,accabler
accablât,accabler
accablèrent,accabler
accablé,accabler
accablé,accablé
accablée,accabler
accablée,accablé
accablées,accabler
accablées,accablé
accablés,accabler
accablés,accablé
accalmie,accalmie
accalmies,accalmie
accalmit,accalmir
accapara,accaparer
accaparaient,accaparer
accaparait,accaparer
accaparant,accaparant
accaparant,accaparer
accaparante,accaparant
accapare,accaparer
accaparer,accaparer
accaparerait,accaparer
accapareur,accapareur
accaparez,accaparer
accaparé,accaparer
accaparée,accaparer
accaparées,accaparer
accaparés,accaparer
accastillage,accastillage
accastillages,accastillage
accelerando,accelerando
accent,accent
accenteur,accenteur
accents,accent
accentua,accentuer
accentuai,accentuer
accentuaient,accentuer
accentuais,accentuer
accentuait,accentuer
accentuant,accentuer
accentuation,accentuation
accentue,accentuer
accentuent,accentuer
accentuer,accentuer
accentuerait,accentuer
accentuez,accentuer
accentuât,accentuer
accentuèrent,accentuer
accentué,accentuer
accentué,accentué
accentuée,accentuer
accentuée,accentué
accentuées,accentuer
accentuées,accentué
accentués,accentuer
accentués,accentué
accepta,accepter
acceptable,acceptable
acceptables,acceptable
acceptai,accepter
acceptaient,accepter
acceptais,accepter
acceptait,accepter
acceptant,acceptant
acceptant,accepter
acceptassent,accepter
acceptasses,accepter
acceptation,acceptation
acceptations,acceptation
accepte,accepter
acceptent,accepter
accepter,accepter
acceptera,accepter
accepterai,accepter
accepteraient,accepter
accepterais,accepter
accepterait,accepter
accepteras,accepter
accepterez,accepter
accepteriez,accepter
accepterions,accepter
accepterons,accepter
accepteront,accepter
acceptes,accepter
acceptez,accepter
acceptiez,accepter
acception,acception
acceptions,acception
acceptions,accepter
acceptons,accepter
acceptâmes,accepter
acceptât,accepter
acceptèrent,accepter
accepté,accepter
acceptée,accepter
acceptées,accepter
acceptés,accepter
accesseurs,accesseur
accessibilité,accessibilité
accessible,accessible
accessibles,accessible
accession,accession
accessit,accessit
accessoire,accessoire
accessoire,accessoire
accessoirement,accessoirement
accessoires,accessoire
accessoires,accessoire
accessoirise,accessoiriser
accessoiriser,accessoiriser
accessoiriste,accessoiriste
accessoiristes,accessoiriste
accident,accident
accidente,accidenter
accidentel,accidentel
accidentelle,accidentel
accidentellement,accidentellement
accidentelles,accidentel
accidentels,accidentel
accidenter,accidenter
accidents,accident
accidenté,accidenter
accidenté,accidenté
accidenté,accidenté
accidentée,accidenter
accidentée,accidenté
accidentée,accidenté
accidentées,accidenté
accidentés,accidenté
accidentés,accidenté
acclama,acclamer
acclamaient,acclamer
acclamait,acclamer
acclamant,acclamer
acclamation,acclamation
acclamations,acclamation
acclame,acclamer
acclament,acclamer
acclamer,acclamer
acclamera,acclamer
acclamerait,acclamer
acclameront,acclamer
acclamez,acclamer
acclamiez,acclamer
acclamons,acclamer
acclamé,acclamer
acclamée,acclamer
acclamées,acclamer
acclamés,acclamer
acclimata,acclimater
acclimatai,acclimater
acclimatation,acclimatation
acclimate,acclimater
acclimatement,acclimatement
acclimatent,acclimater
acclimater,acclimater
acclimaterait,acclimater
acclimates,acclimater
acclimatez,acclimater
acclimaté,acclimater
acclimatés,acclimater
accointance,accointance
accointances,accointance
accointé,accointer
accointés,accointer
accola,accoler
accolade,accolade
accolades,accolade
accolait,accoler
accolant,accoler
accole,accoler
accolement,accolement
accolent,accoler
accoler,accoler
accolerais,accoler
accolé,accoler
accolée,accoler
accolée,accolé
accolées,accoler
accolées,accolé
accolés,accoler
accolés,accolé
accommoda,accommoder
accommodai,accommoder
accommodaient,accommoder
accommodais,accommoder
accommodait,accommoder
accommodant,accommodant
accommodant,accommoder
accommodante,accommodant
accommodantes,accommodant
accommodants,accommodant
accommodation,accommodation
accommodatrices,accommodateur
accommode,accommoder
accommodement,accommodement
accommodements,accommodement
accommodent,accommoder
accommoder,accommoder
accommodera,accommoder
accommoderai,accommoder
accommoderaient,accommoder
accommoderais,accommoder
accommoderait,accommoder
accommoderez,accommoder
accommoderions,accommoder
accommoderont,accommoder
accommodions,accommoder
accommodons,accommoder
accommodât,accommoder
accommodèrent,accommoder
accommodé,accommoder
accommodée,accommoder
accommodés,accommoder
accompagna,accompagner
accompagnai,accompagner
accompagnaient,accompagner
accompagnais,accompagner
accompagnait,accompagner
accompagnant,accompagnant
accompagnant,accompagner
accompagnateur,accompagnateur
accompagnateurs,accompagnateur
accompagnatrice,accompagnateur
accompagnatrices,accompagnateur
accompagne,accompagner
accompagnement,accompagnement
accompagnements,accompagnement
accompagnent,accompagner
accompagner,accompagner
accompagnera,accompagner
accompagnerai,accompagner
accompagneraient,accompagner
accompagnerais,accompagner
accompagnerait,accompagner
accompagneras,accompagner
accompagnerez,accompagner
accompagneriez,accompagner
accompagnerons,accompagner
accompagneront,accompagner
accompagnes,accompagner
accompagnez,accompagner
accompagniez,accompagner
accompagnions,accompagner
accompagnons,accompagner
accompagnâmes,accompagner
accompagnât,accompagner
accompagnèrent,accompagner
accompagné,accompagner
accompagné,accompagné
accompagnée,accompagner
accompagnée,accompagné
accompagnées,accompagner
accompagnées,accompagné
accompagnés,accompagner
accompagnés,accompagné
accompli,accompli
accompli,accompli
accompli,accomplir
accomplie,accompli
accomplie,accomplir
accomplies,accompli
accomplies,accomplir
accomplir,accomplir
accomplira,accomplir
accomplirai,accomplir
accompliraient,accomplir
accomplirais,accomplir
accomplirait,accomplir
accompliras,accomplir
accomplirent,accomplir
accomplirez,accomplir
accomplirons,accomplir
accompliront,accomplir
accomplis,accompli
accomplis,accomplir
accomplissaient,accomplir
accomplissais,accomplir
accomplissait,accomplir
accomplissant,accomplir
accomplisse,accomplir
accomplissement,accomplissement
accomplissements,accomplissement
accomplissent,accomplir
accomplissez,accomplir
accomplissiez,accomplir
accomplissions,accomplir
accomplissons,accomplir
accomplit,accomplir
accomplît,accomplir
accord,accord
accorda,accorder
accordai,accorder
accordaient,accorder
accordailles,accordailles
accordais,accorder
accordait,accorder
accordant,accorder
accordas,accorder
accordassent,accorder
accorde,accorder
accordement,accordement
accordent,accorder
accorder,accorder
accordera,accorder
accorderai,accorder
accorderaient,accorder
accorderais,accorder
accorderait,accorder
accorderas,accorder
accorderez,accorder
accorderiez,accorder
accorderons,accorder
accorderont,accorder
accordes,accorder
accordeur,accordeur
accordez,accorder
accordiez,accorder
accordions,accorder
accordo,accordo
accordons,accorder
accords,accord
accordât,accorder
accordèrent,accorder
accordé,accorder
accordé,accordé
accordée,accorder
accordée,accordé
accordées,accorder
accordées,accordé
accordéon,accordéon
accordéoniste,accordéoniste
accordéonistes,accordéoniste
accordéons,accordéon
accordés,accorder
accordés,accordé
accore,accore
accores,accore
accort,accort
accorte,accort
accortes,accort
accorts,accort
accosta,accoster
accostage,accostage
accostaient,accoster
accostais,accoster
accostait,accoster
accostant,accostant
accostant,accoster
accoste,accoster
accostent,accoster
accoster,accoster
accosterez,accoster
accosterons,accoster
accostez,accoster
accostiez,accoster
accostons,accoster
accosté,accoster
accostée,accoster
accostées,accoster
accota,accoter
accotaient,accoter
accotait,accoter
accotant,accoter
accote,accoter
accotement,accotement
accotements,accotement
accotent,accoter
accoter,accoter
accotoirs,accotoir
accotons,accoter
accotèrent,accoter
accoté,accoter
accotée,accoter
accotées,accoter
accotés,accoter
accotés,accoté
accoucha,accoucher
accouchaient,accoucher
accouchais,accoucher
accouchait,accoucher
accouchant,accouchant
accouchant,accoucher
accouche,accoucher
accouchement,accouchement
accouchements,accouchement
accouchent,accoucher
accoucher,accoucher
accouchera,accoucher
accoucherait,accoucher
accoucheras,accoucher
accouches,accoucher
accoucheur,accoucheur
accoucheurs,accoucheur
accoucheuse,accoucheur
accouchez,accoucher
accouché,accoucher
accouchée,accoucher
accouchée,accouchée
accouchées,accouchée
accouchés,accoucher
accouda,accouder
accoudai,accouder
accoudaient,accouder
accoudais,accouder
accoudait,accouder
accoudant,accouder
accoude,accouder
accouder,accouder
accoudions,accouder
accoudoir,accoudoir
accoudoirs,accoudoir
accoudons,accouder
accoudèrent,accouder
accoudé,accouder
accoudé,accoudé
accoudée,accouder
accoudée,accoudé
accoudées,accouder
accoudés,accouder
accoudés,accoudé
accoupla,accoupler
accouplaient,accoupler
accouplais,accoupler
accouplait,accoupler
accouplant,accoupler
accouple,accoupler
accouplement,accouplement
accouplements,accouplement
accouplent,accoupler
accoupler,accoupler
accouplera,accoupler
accouplerait,accoupler
accoupleront,accoupler
accouplèrent,accoupler
accouplé,accoupler
accouplée,accoupler
accouplées,accoupler
accouplés,accoupler
accouraient,accourir
accourais,accourir
accourait,accourir
accourant,accourir
accourcissant,accourcir
accoure,accourir
accourent,accourir
accoures,accourir
accourez,accourir
accouriez,accourir
accourir,accourir
accourons,accourir
accourra,accourir
accourrai,accourir
accourraient,accourir
accourrais,accourir
accourrait,accourir
accourront,accourir
accours,accourir
accourt,accourir
accouru,accourir
accourue,accourir
accourues,accourir
accoururent,accourir
accourus,accourir
accourussent,accourir
accourut,accourir
accourût,accourir
accoutre,accoutrer
accoutrement,accoutrement
accoutrements,accoutrement
accoutré,accoutrer
accoutré,accoutré
accoutrée,accoutrer
accoutrée,accoutré
accoutrés,accoutrer
accoutrés,accoutré
accoutuma,accoutumer
accoutumai,accoutumer
accoutumaient,accoutumer
accoutumais,accoutumer
accoutumait,accoutumer
accoutumance,accoutumance
accoutumances,accoutumance
accoutumant,accoutumer
accoutume,accoutumer
accoutument,accoutumer
accoutumer,accoutumer
accoutumerait,accoutumer
accoutumé,accoutumer
accoutumé,accoutumé
accoutumée,accoutumer
accoutumée,accoutumé
accoutumées,accoutumer
accoutumées,accoutumé
accoutumés,accoutumer
accoutumés,accoutumé
accouvée,accouver
accras,accra
accro,accro
accro,accro
accroc,accroc
accrocha,accrocher
accrochage,accrochage
accrochages,accrochage
accrochai,accrocher
accrochaient,accrocher
accrochais,accrocher
accrochait,accrocher
accrochant,accrochant
accrochant,accrocher
accroche,accroche
accroche,accrocher
accroche-coeur,accroche-coeur
accroche-coeurs,accroche-coeur
accrochent,accrocher
accrocher,accrocher
accrochera,accrocher
accrocherai,accrocher
accrocheraient,accrocher
accrocherais,accrocher
accrocherait,accrocher
accrocherez,accrocher
accrocheriez,accrocher
accrocheront,accrocher
accroches,accroche
accroches,accrocher
accrocheur,accrocheur
accrocheurs,accrocheur
accrocheuse,accrocheur
accrocheuses,accrocheur
accrochez,accrocher
accrochiez,accrocher
accrochions,accrocher
accrochons,accrocher
accrochât,accrocher
accrochèrent,accrocher
accroché,accrocher
accroché,accroché
accrochée,accrocher
accrochée,accroché
accrochées,accrocher
accrochées,accroché
accrochés,accrocher
accrochés,accroché
accrocs,accroc
accroire,accroire
accrois,accroître
accroissaient,accroître
accroissait,accroître
accroissant,accroître
accroisse,accroître
accroissement,accroissement
accroissent,accroître
accroissez,accroître
accros,accro
accros,accro
accroupi,accroupi
accroupi,accroupir
accroupie,accroupi
accroupie,accroupir
accroupies,accroupi
accroupies,accroupir
accroupir,accroupir
accroupirent,accroupir
accroupis,accroupi
accroupis,accroupir
accroupissaient,accroupir
accroupissais,accroupir
accroupissait,accroupir
accroupissant,accroupir
accroupisse,accroupir
accroupissement,accroupissement
accroupissent,accroupir
accroupissons,accroupir
accroupit,accroupir
accroît,accroître
accroîtra,accroître
accroîtrait,accroître
accroître,accroître
accroîtront,accroître
accru,accroître
accru,accru
accrue,accroître
accrue,accru
accrue,accrue
accrues,accroître
